Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
11/27,"79,431","60,127","8,660","43,340","7,400","39,879","25,229","12,604","60,000","19,100","-9,392","40,000","21,580","53,865","32,600","42,155","10,580","48,600","75,883","66,642",,"1,430",0,"43,793","9,944","14,536","5,350",200,"7,249","-16,089",,,,,,,,,,
12/27,"62,131","62,068","7,590","32,410","3,000","38,263","17,431","8,706","39,000","4,000","4,312","33,200","15,001","36,628","27,600","1,915","4,479","31,700","28,010",591,,"1,133",0,"45,352","9,567","3,559","5,665",800,"3,864","-1,287",,,,,,,,,,
1/28,"58,637","47,682","5,016","27,984","5,100","43,936","14,663","6,060","29,000","1,700","16,296","25,800","10,995","35,864","25,800","17,263","4,771","31,700","28,046","20,871",,"1,146",215,"30,121","9,250","-17,391","-30,481","1,000","-19,549","-52,991",,,,,,,,,,
2/28,"46,871","48,377","4,170","23,830","5,300","34,535","17,744","10,796","22,000","1,000","24,454","29,900","10,981","37,727","24,100","1,491","5,392","36,600","48,138","21,361",,"1,745","18,637","21,033","17,356","-18,998","-23,752","7,800","-14,138","-4,993",,,,,,,,,,
3/28,"72,912","53,226","5,206","43,794","9,400","45,613","41,570","11,159","52,000","14,600","38,437","88,500","48,117","53,277","46,100","79,937","9,279","90,400","42,134","-68,506",,"2,507","55,211","-28,204","20,106","-136,595","56,278","5,000","-40,743","-109,578",,,,,,,,,,
4/28,"129,461","104,465","9,447","79,553","22,800","74,000","154,292","-22,150","72,000","10,400","116,358","171,300","87,307","34,704","47,100","-50,125","14,474","116,700","32,434","-100,745",,399,"8,068","-5,492","23,440","2,967","69,832","1,400","-5,964","-153,163",,,,,,,,,,
5/28,"852,689","472,659","52,100","395,910","99,300","358,079","257,578","-38,059","393,800","1,800","210,255","618,280","262,778","310,201","185,300","243,715","80,052","250,400","167,917","-352,838",,538,0,"-70,020","16,224","-263,600","37,356",300,"-28,838","-106,762",,,,,,,,,,
6/28,"814,608","458,152","62,300","330,179","69,200","208,877","149,493","51,282","329,000","14,700","102,935","362,187","132,890","198,824","128,700","176,129","80,664","163,341","205,256","222,735",,125,0,"62,950","5,105","159,824","42,949",300,"-37,784","-54,425",,,,,,,,,,
7/28,"451,908","256,693","33,794","147,680","16,600","131,302","67,300","37,646","248,100","25,400","48,319","100,300","13,714","78,218","77,400","76,166","28,189","52,296","108,272","205,628",,"1,942","2,439","22,060","2,230","112,570","30,022",300,"-16,053","-48,573",,,,,,,,,,
8/28,"154,077","106,915","12,632","74,318","5,900","56,711","34,812","16,896","141,100","10,600","40,483","34,906","3,601","49,594","53,900","5,282","14,341","36,713","52,490","93,041",,"3,852","5,478","35,556","3,268","36,282","5,633","1,000","-25,351","-46,381",,,,,,,,,,
9/28,"96,451","67,809","13,232","34,710","3,500","47,264","26,616",-438,"61,000","5,100","21,350","27,761","3,887","24,370","42,200","-10,582","5,991","23,400","48,617","4,356",,353,"3,194","26,562","4,507","22,231",119,"2,900","-27,806","-12,838",,,,,,,,,,
10/28,"77,619","63,266","7,324","29,776","4,500","43,673","40,654","1,539","45,400","4,500","7,890","25,100","18,624","42,803","54,800","15,235","5,087","19,100","32,053","76,559",,811,0,"8,720","4,678","-28,340","28,508","1,200","-11,054","13,858",,,,,,,,,,
11/28,"66,884","44,897","6,688","42,312","5,500","29,758","14,374","18,640","39,000","4,400","10,138","28,300","9,862","29,522","39,100","11,735","4,458","32,200","46,672","85,682",,"1,246","7,734","13,573","7,490","-5,847","7,351","1,300","-20,844","-41,164",,,,,,,,,,
12/28,"42,504","35,417","4,587","19,413","1,800","32,439","8,481",566,"27,000","2,500","6,674","23,300","7,348","28,594","24,600","-15,248","2,086","18,200","28,176","50,268",,962,704,"22,745","7,594","31,549","14,491","1,100","17,708","-27,220",,,,,,,,,,
1/29,"47,234","38,460","2,707","18,293","2,300","22,062","7,159","2,016","25,000","1,400","19,010","24,600","9,225","29,328","27,600","-4,156","2,216","15,700","21,978","24,986",,906,302,"19,883","7,531","5,245","-22,493","1,100","14,797","-30,567",,,,,,,,,,
2/29,"41,334","29,369","2,369","17,631","3,300","23,183","8,544","2,799","21,000","1,200","28,694","22,200","8,324","33,011","24,900","-21,059","3,975","16,600","32,001","52,190",,"1,347","1,271","15,820","9,053","-5,272","-43,145","1,100","-13,566","-10,972",,,,,,,,,,
3/29,"58,493","49,761","2,752","42,248","7,800","56,985","42,943","7,014","48,000","15,900","53,217","116,800","58,401","57,353","70,700","58,541","9,644","73,800","77,244","8,104",,"1,575","46,290","-16,506","13,926","-73,038","17,508","1,200","-31,444","-16,474",,,,,,,,,,
4/29,"135,888","120,806","6,343","76,657","20,000","102,789","246,434","-6,482","123,000","26,100","62,327","294,000","118,994","83,602","146,700","-43,408","14,625","203,800","124,041","-81,439",,452,"170,493","-75,142","21,445","-68,124","-44,415","1,000","-22,388","-83,610",,,,,,,,,,
5/29,"594,891","403,416","37,398","312,612","75,100","504,329","368,243","-54,370","182,000","-8,500","119,700","699,177","343,497","232,728","217,700","153,184","61,855","359,800","222,050","-222,643",,196,"2,371","-171,046","26,526","-351,971","57,419","1,100","-53,830","-65,272",,,,,,,,,,
6/29,"945,700","573,610","67,465","369,473","78,300","376,836","247,724","50,753","300,400",700,"182,249","555,278","255,545","306,317","250,200","113,821","109,871","317,072","257,770","145,270",,159,0,"-79,896","6,730","72,978",761,"1,000","-40,325","-109,768",,,,,,,,,,
7/29,"424,620","280,438","42,230","149,154","20,000","198,242","103,713","-5,039","186,000","14,400","81,116","176,899","44,713","134,590","190,800","62,309","44,741","110,217","211,492","243,406",,"8,097","106,240","-3,658","15,352","-27,171","2,445",900,"-11,405","-105,178",,,,,,,,,,
8/29,"235,817","200,007","24,670","142,605","12,500","141,764","103,213","17,640","100,800","6,700","65,551","52,889","12,232","70,255","121,400","9,576","25,227","247,455","333,563","417,621",,"10,685","121,055","-27,824","23,594","257,719","12,089","3,500","16,501","-46,714",,,,,,,,,,
9/29,"162,094","143,240","24,367","132,471","9,600","143,561","105,281","8,419","70,600","4,800","33,369","60,143","16,580","69,748","116,200","20,351","16,076","191,900","252,788","134,032",,"8,378","102,368","-54,217","27,197","-52,494","15,300","16,700","15,613","-66,882",,,,,,,,,,
10/29,"110,901","84,045","13,433","74,067","7,800","65,198","73,118","4,001","59,100",-900,"15,207","44,433","16,439","56,270","64,000","2,507","6,340","79,400","60,190","121,154",,795,"13,007","10,793","5,343","62,349","10,760","1,000","47,055","59,819",,,,,,,,,,
11/29,"76,219","52,194","7,159","45,841","7,700","54,044","24,756","9,963","43,000","-5,200","21,445","33,900","8,728","29,827","42,400","-2,219","4,795","32,200","27,621","50,065",,702,251,"23,861","7,557","10,596","-3,243","1,100","1,457","-19,254",,,,,,,,,,
12/29,"54,813","54,355","3,949","29,051","2,600","38,050","17,324","4,283","37,000","-1,200","9,502","29,500","5,220","28,140","30,700","-2,302","2,981","17,900","23,436","55,602",,732,220,"23,212","9,039","24,389","4,938","1,300","-25,226","-9,826",,,,,,,,,,
1/30,"51,483","32,882","3,206","19,794","1,600","25,284","11,529",-667,"29,300","-9,800","24,532","20,900","4,301","17,251","23,300","-26,818","3,198","15,100","14,192","40,144",,918,426,"21,530","13,773","23,677","-36,898","1,000","-14,867","-105,385",,,,,,,,,,
2/30,"47,105","46,703","3,484","17,516","3,900","52,473","23,949","11,389","29,300","-5,900","22,177","21,100","6,663","40,630","31,100","62,754","5,431","28,600","41,462","-31,916",,"1,591","1,271","-3,529","14,551","-80,132","-22,974","1,000","-22,591","15,449",,,,,,,,,,
3/30,"55,027","41,204","4,423","24,577","4,800","38,321","31,186","5,175","48,500","6,900","61,448","48,200","15,644","34,229","36,800","-14,401","5,629","44,700","31,847","39,430",,817,"24,246","18,409","9,900",-525,"-28,284","7,600","-24,379","-69,130",,,,,,,,,,
4/30,"266,239","139,312","16,300","156,700","44,400","192,578","228,138","-60,606","116,000","46,000","54,485","262,563","78,135","77,983","74,300","-9,746","10,603","187,000","81,277","-99,255",,294,"29,452","-64,259","8,509","-168,814","-42,045",900,"7,798","-64,686",,,,,,,,,,
5/30,"386,314","191,433","24,595","160,415","41,000","226,364","198,252","-71,982","222,300","-61,600","142,107","279,033","94,584","103,781","75,800","-24,600","21,594","176,700","109,900","-70,825",,357,805,"21,589","28,039","-5,030","-75,304","1,100","-13,719","-30,591",,,,,,,,,,
6/30,"604,498","446,647","40,297","244,808","50,300","233,854","228,871","26,180","412,400","-56,800","181,816","260,103","67,672","178,074","121,300","57,647","76,117","192,499","232,967","95,576",,331,0,"8,595","6,665","-52,074","-31,640","1,000","4,447","-56,173",,,,,,,,,,
7/30,"224,591","205,466","24,316","88,204","11,400","102,243","90,467","-7,865","244,300","-12,900","82,907","41,390","6,349","92,915","42,000","21,366","35,167","87,523","103,102","134,839",,"3,094","55,301","36,297","6,641","72,990","-10,804",900,"42,364","7,531",,,,,,,,,,
8/30,"222,107","189,319","16,645","107,061","8,900","100,110","67,802","12,102","117,700","123,200","-62,128","48,098","10,354","106,106","62,600","168,614","24,386","101,586","185,975","181,512",,"7,006","74,123","49,841","52,450","87,998","9,655","2,100","21,116","-8,259",,,,,,,,,,
9/30,"104,215","71,550","6,973","42,189","3,300","40,966","31,596","-5,598","58,500","22,100","12,552","32,106","7,787","46,205","34,200","23,423","6,132","26,000","25,723","64,111",,"2,392","5,904","1,820","25,528","47,744","21,723","14,000","26,441","11,997",,,,,,,,,,
10/30,"79,936","46,574","6,570","31,430","4,300","51,683","37,102","5,197","78,900","10,500","5,389","43,320","6,841","45,708","30,700","13,184","6,809","21,300","15,253","32,054",,"1,650",0,"16,305","15,987","35,734","9,023","1,000","48,074","45,075",,,,,,,,,,
11/30,"50,877","35,765","5,335","24,665","4,200","36,739","11,978","5,335","35,200","4,400","11,625","41,100","1,481","22,364","23,100","7,028","5,483","17,300","13,441","63,929",,"1,821",807,"20,579","18,447","42,682","2,160","1,300","2,666","-35,962",,,,,,,,,,
12/30,"40,409","28,244","6,185","22,815","1,700","36,829","9,129","-2,362","28,300",400,"3,307","31,000","1,513","30,238","14,100","4,182","2,605","16,800","8,402","1,747",,541,"4,584","20,577","13,097","37,911","12,056","1,000","-9,390","-33,043",,,,,,,,,,
1/31,"36,151","31,274","4,621","18,379","3,400","40,011","9,650","-8,015","18,500",100,"16,954","19,900","4,080","23,952","17,800","-5,724","3,454","13,800","6,828","8,407",,494,954,"16,384","14,450","13,631","-21,076","1,000","13,398","33,249",,,,,,,,,,
2/31,"35,177","35,928","3,444","17,556","3,400","33,140","18,718","5,325","20,400",-200,"21,771","19,900","8,009","25,302","20,800","-6,405","4,361","17,700","32,571","49,420",,"1,718","13,429","5,568","17,217","21,805","-40,580","22,100","-29,143","5,439",,,,,,,,,,
3/31,"44,368","32,414","3,657","23,343","4,200","20,805","19,731","-1,184","35,700","6,400","30,225","45,500","38,122","25,138","32,200","19,647","8,893","28,500","9,249","17,047",,742,"31,979","-7,388","7,932","-11,411","1,226","1,100","-31,282","-47,588",,,,,,,,,,
4/31,"94,951","33,480","8,812","35,188","11,000","12,666","67,322","-26,258","55,500","6,000","45,465","163,742","123,471","25,335","40,200","-39,183","8,335","77,700",-752,"-30,753",,351,"14,982","-4,146","5,546","-25,981","34,207","2,000","1,415",-96,,,,,,,,,,
5/31,"273,464","164,695","15,833","54,181","15,200","96,419","130,528","-45,767","81,400","-13,200","79,481","242,499","141,792","50,439","66,000",434,"24,687","168,000","63,569","-94,458",,591,"13,377","-4,130","4,187","-45,394","-17,889","1,400","24,309","-36,238",,,,,,,,,,
6/31,"398,147","253,279","23,358","89,036","18,500","111,640","124,232","-8,198","163,900",100,"19,122","191,910","88,345","68,365","71,100","123,467","32,490","142,853","129,408","64,189",,292,0,"26,486","3,297","49,839","9,813","1,000","1,819","-86,070",,,,,,,,,,
7/31,"136,312","123,758","10,701","45,846","4,900","104,088","88,644","-20,761","72,600","3,600","26,600","46,805","36,429","38,152","29,900","76,833","11,448","66,858","97,243","117,461",,867,"25,264","30,438","3,929","72,573","11,666","1,100","38,234","-35,102",,,,,,,,,,
8/31,"84,319","65,901","6,624","39,246","3,400","55,554","50,707","-6,941","54,500","2,600","21,051","25,148","11,462","26,928","30,800","26,176","9,099","45,624","69,633","24,618",,"1,053","56,180","21,657","8,977","32,325","-10,316","64,200","7,307","-54,668",,,,,,,,,,
9/31,"62,930","59,097","8,268","17,670","2,600","29,835","36,261","1,656","31,900","-1,400","10,611","12,266","2,438","15,910","24,800","1,985","4,560","50,000","53,173","-5,836",,"1,250","17,158","12,772","6,308","-45,080","8,557","11,700","6,829","17,319",,,,,,,,,,
10/31,"51,738","39,896","5,800","25,400","3,200","60,691","46,055","4,644","27,600","-2,700","3,464","18,471","10,806","17,025","25,700","2,538","2,912","66,300","90,806","39,944",,"1,271","15,210","19,182","5,393","52,480","18,297","1,400","-16,000","71,390",,,,,,,,,,
11/31,"38,483","30,010","5,442","24,558","4,700","42,298","18,801","5,219","23,400","-1,000","9,210","17,800","15,436","12,244","23,300","3,996","2,472","30,700","34,059","24,919",,"1,071","18,475","19,728","16,959","25,626","-1,101","1,200","-19,317","-7,787",,,,,,,,,,
12/31,"30,109","26,742","4,775","23,225","1,500","36,722","8,192","-1,050","18,900","-1,100","8,925","15,100","8,567","15,026","26,100","-28,590","2,363","19,200","26,331","18,472",,589,"7,472","15,243","11,806","9,578","5,541","13,800","-20,381","2,076",,,,,,,,,,
1/32,"28,846","34,234","4,495","18,505","1,600","22,438","8,088","-1,181","16,000",-700,"21,471","10,800","12,566","19,305","25,800","-13,679","2,650","19,400","15,747","36,781",,928,"10,069","24,789","9,531","47,726","1,589","4,900","-10,068","-37,882",,,,,,,,,,
2/32,"30,518","44,425","3,134","15,866","3,400","46,222","22,261","11,636","18,900","-1,700","27,283","11,200","12,072","28,037","26,400","-18,323","4,144","59,500","147,722","74,887",,"8,499","168,807","-1,290","76,331","40,971","-1,851","269,300","-16,573","11,224",,,,,,,,,,
3/32,"43,989","39,845","4,149","22,851","4,900","44,283","30,866","3,658","38,600","4,200","53,274","56,200","70,067","31,641","43,600","3,567","8,621","150,000","56,041","8,636",,"3,614","161,162","11,696","41,628","-23,654","-26,052","22,100","-28,570","-5,945",,,,,,,,,,
4/32,"144,397","102,047","11,302","73,698","20,700","242,270","240,176","-72,546","76,600","6,100","92,587","200,000","139,510","62,944","47,300","-25,726","17,000","384,000","85,205","-72,846",,"1,119","85,182",576,"45,878","-8,678","-78,016","1,400",937,"-67,383",,,,,,,,,,
5/32,"551,959","500,119","35,130","244,880","61,800","426,556","417,227","11,692","201,800","-10,200","196,281","520,276","282,176","251,298","131,600","84,762","64,566","486,500","178,919","-171,549",,526,"10,052","-16,727","63,272","-243,294","-11,525","1,100","-32,185","-31,264",,,,,,,,,,
6/32,"676,203","470,944","53,328","266,800","57,200","216,389","189,567","54,459","365,400","-2,400","211,008","384,395","181,916","233,405","122,000","3,768","57,295","390,442","227,363","105,637",,224,0,"2,156","20,470","-33,099","23,778","1,000","-35,240","16,413",,,,,,,,,,
7/32,"315,056","295,130","30,366","141,455","17,000","134,532","88,613","59,932","274,900","25,800","66,625","140,919","38,856","105,482","70,400","117,350","26,682","193,742","139,467","330,141",,"4,005","3,372","47,962","23,427","241,006","64,454","1,100",5,"-14,131",,,,,,,,,,
8/32,"129,320","115,084","13,104","74,831","6,400","72,966","51,972","37,031","107,600","5,100","36,323","49,024","8,257","41,547","53,600","40,512","15,795","118,014","130,336","191,969",,"14,571","26,298","-5,821","60,013","-158,417","-14,932","1,400","47,451","-13,240",,,,,,,,,,
9/32,"65,406","58,957","9,431","31,307","2,400","45,265","33,915","5,170","50,000","1,300","23,687","20,370","4,858","37,367","31,100",525,"5,948","44,900","76,904","108,253",,"1,513","3,100","50,726","7,200","207,398","-5,677",900,"44,408","-21,730",,,,,,,,,,
10/32,"58,090","49,897","6,503","20,497","3,500","32,829","25,476","-6,208","38,700","-1,200","7,288","21,326","8,509","21,824","27,900",-155,"3,600","24,700","27,027","-2,170",,"1,230","1,799","17,139","10,638","22,042","30,636","1,200","25,453","70,819",,,,,,,,,,
11/32,"49,708","42,361","5,468","27,532","4,700","29,375","10,720","11,143","31,500","1,100","8,506","23,300","10,793","26,707","25,400","8,047","4,000","16,900","19,141","20,962",,996,0,"17,391","9,997","14,495","-5,562","1,300","-31,619","42,262",,,,,,,,,,
12/32,"40,744","33,362","5,192","19,808","1,700","26,042","7,113","-1,247","23,500","-1,600","6,504","15,000","5,505","16,916","26,100","-9,269","1,650","14,900","11,708","32,454",,861,0,"26,932","15,987","46,817","-6,118","1,400",-82,"-20,914",,,,,,,,,,
1/33,"41,048","43,129","3,342","17,658","2,300","14,761","7,198","2,762","16,700","-1,300","16,666","10,400",959,"18,979","24,900",678,"2,220","17,900","11,033","17,263",,664,0,"12,802","14,142","11,196","10,580","1,200","13,501","-33,917",,,,,,,,,,
2/33,"33,527","34,418","3,110","13,890","3,500","20,098","10,289","7,436","18,900","-2,200","18,806","16,600",971,"25,185","26,900","-10,659","2,620","17,500","30,619","-17,596",,"1,321","7,818","14,964","13,274","20,692","18,159","1,100","-20,075","-24,272",,,,,,,,,,
3/33,"46,979","43,605","4,289","31,711","5,900","22,908","19,865","1,651","29,900","-2,900","33,530","28,900","23,981","31,522","42,100","9,389","3,896","39,700","33,318","53,359",,"2,418","27,489","2,006","12,359","20,109","29,264","1,600","-17,279","-49,552",,,,,,,,,,
4/33,"73,029","41,824","8,464","35,536","11,000","20,754","31,535","-26,123","55,700","3,800","43,227","112,500","66,439","25,832","49,900","-16,945","1,103","53,300","7,900","-18,806",,613,"19,558","5,178","9,223","-6,572","21,999",900,"16,488","-54,181",,,,,,,,,,
5/33,"287,102","166,788","21,594","154,416","40,800","177,724","118,525","-52,074","93,500","-16,100","117,098","309,663","189,651","78,080","71,900","7,859","11,694","148,600","31,391","-214,751",,474,"11,365","-56,726","17,709","-142,903","-57,653","1,300","-11,770","-10,056",,,,,,,,,,
6/33,"948,901","543,555","53,471","288,257","58,900","283,145","136,448","46,479","397,100","3,300","222,226","479,213","230,157","238,408","174,000","-1,402","75,131","280,367","220,280","123,769",,157,0,438,"6,843","-32,873","-39,771",900,"-23,918","-34,390",,,,,,,,,,
7/33,"266,211","211,704","18,645","81,681","10,400","127,698","48,264","23,361","169,400","14,000","41,273","67,966","23,785","75,191","45,000","107,384","20,177","89,001","133,708","248,904",,"3,092","19,811","44,734","7,563","212,919","-6,056",800,178,"17,018",,,,,,,,,,
8/33,"107,509","98,873","7,931","58,439","4,000","50,194","31,368","10,125","68,400","2,700","35,837","26,298","5,224","32,966","35,100","14,562","10,170","45,801","61,805","68,045",,"2,440","21,275","25,660","4,784","70,799","1,919",800,"29,785","-13,195",,,,,,,,,,
9/33,"74,499","70,100","5,201","29,437","4,400","46,672","27,549","-2,940","37,000","-1,100","22,090","14,286","2,367","24,394","25,600","-1,579","7,440","63,000","86,821","5,782",,"2,408","30,124","12,871","4,963","-11,721","10,804",800,"15,052","16,518",,,,,,,,,,
10/33,"62,904","43,246","5,006","23,294","4,800","37,700","25,027","4,764","29,600","-2,500","22,413","13,046",912,"13,045","24,700","-14,569","2,372","40,100","62,384","37,582",,"1,337","33,940","22,952","5,589","44,908","18,041",800,"-11,472","-57,632",,,,,,,,,,
11/33,"46,937","38,438","4,606","25,394","4,500","26,770","10,981","-2,546","27,600",400,"9,499","11,300","1,991","16,784","26,200","-4,452","2,482","20,900","13,057","16,719",,"1,035",837,"11,100","7,676","13,158","3,106",800,"-50,151","-19,598",,,,,,,,,,
12/33,"41,508","45,487","5,412","22,588","1,600","27,829","9,022",253,"26,700",-300,"5,549","11,900","3,954","23,616","25,300","8,642","2,462","17,200","23,729","33,980",,"1,793","1,058","20,084","12,298","53,962","15,507",800,"-20,306","-1,374",,,,,,,,,,
1/34,"36,875","50,517","3,915","19,085","2,200","20,916","6,584",60,"19,100",-100,"9,847","7,000",950,"21,678","24,600","10,218","2,625","18,100","16,736","28,569",,"1,561",488,"21,071","12,482","36,408","-4,917",800,"-16,660","-35,511",,,,,,,,,,
